item_nr,condition,text,corr_ans,is_practice_trial
1,word,Haie,m,TRUE
1,pseudoword,Bage,c,TRUE
2,word,Mannes,m,TRUE
2,pseudoword,sanzes,c,TRUE
3,word,korrekt,m,TRUE
3,pseudoword,Torrerk,c,TRUE
4,word,sagt,m,TRUE
4,pseudoword,segt,c,TRUE
5,word,sicheren,m,TRUE
5,pseudoword,tobreren,c,TRUE
