word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
sagt,sagt,sügt,2/3,2,N,8,1.6,2,138,5,6,65,0,-12,0.6500000000000001,0,-26,-7,0
sicheren,si-che-ren,todreren,2/3,6,N,0,2.75,6,1178,331,1850,269,154,10725,5947,5896,18662,19387,0,-9,1.3,-221,85,266,-233,-278,0,0,0,0,0
sicheren,si-che-ren,totheren,2/3,6,N,1,2.3,6,1178,331,1850,76,43,10725,5947,5896,18662,19387,0,-8,0.8499999999999999,-221,85,266,-426,-389,0,0,0,0,0
sicheren,si-che-ren,tokleren,2/3,6,N,1,2.4,6,1178,331,1850,232,137,10725,5947,5896,18662,19387,0,-8,0.95,-221,85,266,-270,-295,0,0,0,0,0
sicheren,si-che-ren,tofreren,2/3,6,N,0,2.75,6,1178,331,1850,283,174,10725,5947,5896,18662,19387,0,-9,1.3,-221,85,266,-219,-258,0,0,0,0,0
sicheren,si-che-ren,topheren,2/3,6,N,0,2.75,6,1178,331,1850,69,15,10725,5947,5896,18662,19387,0,-9,1.3,-221,85,266,-433,-417,0,0,0,0,0
sicheren,si-che-ren,tokreren,2/3,6,N,0,2.75,6,1178,331,1850,227,138,10725,5947,5896,18662,19387,0,-9,1.3,-221,85,266,-275,-294,0,0,0,0,0
sicheren,si-che-ren,togneren,2/3,6,N,0,2.8,6,1178,331,1850,88,12,10725,5947,5896,18662,19387,0,-9,1.3499999999999999,-221,85,266,-414,-420,0,0,0,0,0
sicheren,si-che-ren,tobleren,2/3,6,N,2,2.1,6,1178,331,1850,201,86,10725,5947,5896,18662,19387,0,-7,0.6500000000000001,-221,85,266,-301,-346,0,0,0,0,0
sicheren,si-che-ren,tobreren,2/3,6,N,0,2.7,6,1178,331,1850,323,249,10725,5947,5896,18662,19387,0,-9,1.2500000000000002,-221,85,266,-179,-183,0,0,0,0,0
sicheren,si-che-ren,toskeren,2/3,6,N,0,2.75,6,1178,331,1850,77,13,10725,5947,5896,18662,19387,0,-9,1.3,-221,85,266,-425,-419,0,0,0,0,0
