item_nr,word,pseudoword,word_ZipfSUBTLEX,word_fpmwSUBTLEX,word_len,pseudoword_statistics_overlap_ratio,pseudoword_statistics_plain_length,pseudoword_statistics_lexicality,pseudoword_statistics_ned1,pseudoword_statistics_old20,pseudoword_statistics_overlap,pseudoword_statistics_transition_frequencies_0,pseudoword_statistics_transition_frequencies_1,pseudoword_statistics_transition_frequencies_2,pseudoword_statistics_transition_frequencies_3,pseudoword_statistics_transition_frequencies_4,pseudoword_statistics_transition_frequencies_5,pseudoword_statistics_transition_frequencies_6,pseudoword_difference_statistics_plain_length,pseudoword_difference_statistics_ned1,pseudoword_difference_statistics_old20,pseudoword_difference_statistics_transition_frequencies_0,pseudoword_difference_statistics_transition_frequencies_1,pseudoword_difference_statistics_transition_frequencies_2,pseudoword_difference_statistics_transition_frequencies_3,pseudoword_difference_statistics_transition_frequencies_4,pseudoword_difference_statistics_transition_frequencies_5,pseudoword_difference_statistics_transition_frequencies_6
99,hört,hößt,5.42,263.02679918953817,4,2/3,2,N,5,1.75,2,142,14,2,63,0,-7,0.45,0,0,-6,-2,NA,NA,NA,NA,NA,NA
100,interpretiert,indergnetauts,3.29,1.9498445997580456,13,2/3,11,N,0,5.95,8,17115,1357,2324,887,3049,10364,16,8,14745,5262,16,3,101,0,-4,3.75,"0,0,0,149,-679,0,-25,-9,0,0,-98,-388,-584"
101,jahrelanges,Jespelanges,2.6,0.3981071705534973,11,2/3,9,N,0,4,8,62,5,159,47,931,12668,4054,778,1293,916,9611,9822,10041,0,-4,1.1,"-39,-27,10,-58,-32,0,0,0,0,0,0,0,0"
102,kaufte,Sauste,4.06,11.481536214968818,6,2/3,4,N,8,1.6,4,737,23,989,149,6538,5346,8061,0,1,0.05000000000000004,36,-8,173,-77,0,0,0
103,konsolidieren,lenmalimieren,1.9,0.07943282347242814,13,2/3,11,N,0,3.95,10,903,249,276,16,473,2920,2452,2267,9056,681,123,2371,12262,12250,11054,11464,"0,-4,1.7000000000000002,-86,-426,-349,-213,232,116,0,0,0,-70,9,0,0,0,0,0"
104,kreiere,greaade,2.67,0.4677351412871981,7,2/3,5,N,0,2.95,6,357,6,8888,1089,6,83,2030,4375,18486,21748,0,-7,1.4,-55,-76,0,"0,-14,-4094,-3917,-1521,0,0"
105,lateinamerikanischer,seteinagelesenischem,1.9,0.07943282347242814,20,2/3,18,N,0,8.3,16,25,5,152,129,5,15,26,59,132,20,22,80,46,14,211,26,"5,86,80,44,177,72,72,130,130,0,-4,4.15,-1,0,9,0,0,0,0,0,0,-13,-9,0,0,-13,14,4,-13,13,0,0,0,0,0,-4,-6"
106,lebenslänglich,lebensrorgtich,3.77,5.88843655355589,14,2/3,12,N,0,5.7,8,1562,314,8925,4412,5176,508,31,176,19,28,548,292,326,0,-1,1.6000000000000003,"0,0,0,0,0,0,16,-23,-24,9,-4,0,0"
107,lediglich,ledighens,4.07,11.748975549395302,9,2/3,7,N,0,3.05,6,1667,223,8888,2052,734,2185,6,1266,519,732,0,0,0.3999999999999999,0,0,0,"0,0,0,-110,181,82,171"
108,letzten,fitzten,5.33,213.79620895022325,7,2/3,5,N,5,1.75,4,979,107,89,149,6538,5293,5859,0,-8,0.5,-50,-40,33,0,0,0,0
109,naturalistischen,paxudotikrischen,2.29,0.19498445997580455,16,2/3,14,N,0,6.5,12,252,96,1255,26,26,1203,406,22,1194,1161,1117,4341,20,1,2658,1166,"1174,4012,4215,0,-4,3.65,-68,-35,0,-23,-42,0,-229,-187,-270,228,-3,0,-320,-265,0,0,0,0,0"
110,niedergezwungen,quaserbesprugen,2.29,0.19498445997580455,15,2/3,13,N,0,6.95,10,43,38,26,1654,842,5966,537,1236,5104,2,2,1507,4039,4308,11054,11464,"0,0,3.6,-906,-112,-704,-61,-973,0,-80,-895,0,1,1,0,0,0,0,0"
111,niederzuhalten,beiderzubinten,1.9,0.07943282347242814,14,2/3,12,N,0,4.9,10,1034,34,818,1715,1815,5966,221,540,2983,666,240,216,264,6037,11054,11464,"0,0,2.3000000000000003,85,-116,88,0,0,0,0,0,0,77,-196,-132,-146,0,0,0"
112,offiziellem,oßmiziivsem,2.07,0.11748975549395292,11,2/3,9,N,0,5.55,10,8765,479,94,7,297,4209,573,500,9056,1638,168,71,4,1031,5574,5577,"0,-4,2.8499999999999996,0,0,29,-219,106,0,0,0,0,0,-358,-508,-480,-223,0,0"
113,parfümiert,Nonfümiert,2.64,0.4365158322401661,10,2/3,8,N,0,3.75,6,708,124,696,366,544,1382,1262,91,703,1470,0,-4,1.4500000000000002,29,-63,-62,"-127,0,0,0,0,0,0"
114,rasselt,messelt,2.2,0.15848931924611143,7,2/3,5,N,3,1.85,4,904,96,116,539,1548,342,576,0,-3,0.25,-184,-143,-88,0,0,0,0
115,reparierten,nezolierten,2.6,0.3981071705534973,11,2/3,9,N,0,2.95,8,1859,290,8925,820,61,4246,4054,965,2910,4983,17878,21646,22249,0,-4,1.2500000000000002,"-367,-840,0,-53,-229,-93,-469,304,0,0,0,0,0"
116,schlaksigen,schwagrigen,1.9,0.07943282347242814,11,2/3,9,N,0,2.8,6,349,114,231,85,1048,7174,6581,8586,18662,19387,0,-4,0.8499999999999999,-45,-45,-51,"65,35,0,0,0,0,0"
117,schwindelte,schrordelte,1.9,0.07943282347242814,11,2/3,9,N,0,3.65,6,100,13,2008,437,2136,2743,2397,21421,18486,21748,0,-4,1.95,-249,-25,361,"-425,0,0,0,0,0,0"
118,schönste,schirste,4.22,16.595869074375596,8,2/3,6,N,2,1.9,4,727,117,191,213,1875,5346,8061,0,-4,0.2999999999999998,0,56,110,30,0,0,0
119,schüchternste,Schöchteckste,1.9,0.07943282347242814,13,2/3,11,N,0,5.05,6,700,32,20,439,2676,219,16,7293,18486,21748,0,-5,2.6999999999999997,-42,8,-55,"0,0,57,-42,0,0,0"
120,siegle,seifle,1.9,0.07943282347242814,6,2/3,4,N,3,1.85,4,807,60,55,75,1845,5346,8061,0,-6,0.40000000000000013,0,-8,17,-3,0,0,0
121,sogleich,sopfeibt,2.94,0.8709635899560806,8,2/3,6,N,0,3.2,4,807,123,1027,10,8,52,409,0,0,0.6000000000000001,0,0,0,-30,-16,14,29
122,spuckten,Spruntet,2.44,0.2754228703338166,8,2/3,6,N,0,2.65,4,2,2,6400,1655,6538,2597,3124,0,-5,1,-2,-2,0,0,0,-2696,-2735
123,strammen,Sprommen,2.6,0.3981071705534973,8,2/3,6,N,0,2.8,4,92,6,89,403,1166,5293,5859,0,-8,1.2999999999999998,-187,-75,-172,0,0,0,0
124,sympathisierst,nippakrisierst,2.2,0.15848931924611143,14,2/3,12,N,0,5,8,1859,90,89,343,290,4339,130,12,13123,2193,253,371,440,0,-3,2.3,"33,-50,-15,-21,0,0,63,-18,0,0,0,0,0"
125,telepathischen,Sevewoknischen,2.29,0.19498445997580455,14,2/3,12,N,0,4.95,10,543,145,4706,1043,966,7788,422,124,3030,2,4,8571,2795,2818,11054,11464,"0,-4,1.9500000000000002,-148,36,0,-217,133,0,147,-4,-73,-44,-33,0,0,0,0,0"
126,undurchdringbar,untrunkspahmbar,2.37,0.23442288153199228,15,2/3,13,N,0,7.6,8,3679,3679,16036,5,10,7846,152,82,9,3,148,119,8926,0,-1,4.1499999999999995,"0,0,0,-4,-9,0,-15,-3,-15,0,0,0,0"
127,ungesetzlich,ungesegthent,2.83,0.6760829753919819,12,2/3,10,N,0,3.95,8,3679,3679,16036,3174,6317,12668,1982,1615,31,3,734,62,83,0,-1,1.25,"0,0,0,0,0,0,0,0,-66,-2,182,-230,-243"
128,verantwortungsvollen,veragsweugungsßillen,2.2,0.15848931924611143,20,2/3,18,N,0,8.5,12,588,366,796,172,408,34,5,39,132,16,25,632,97,62,16,216,"471,4012,4215,0,-4,6.2,0,0,0,0,0,4,-25,-6,11,-4,-20,0,-20,25,-17,0,0,0,0"
129,vergeltet,verligtet,2.07,0.11748975549395292,9,2/3,7,N,1,1.95,6,6891,5424,9968,788,2657,2185,722,21421,9072,9892,0,-6,0.3999999999999999,0,0,0,"245,-887,-558,-1675,0,0,0"
130,verkürzen,vertolzen,3.01,1.0232929922807537,9,2/3,7,N,1,2.1,6,6891,5424,9968,571,335,603,233,1826,18662,19387,0,-3,0.3500000000000001,0,0,0,"28,134,132,-35,0,0,0"
131,verschmutzen,berschlußven,2.74,0.5495408738576248,12,2/3,10,N,0,3.6,6,4728,3808,9968,2,8,5501,277,194,18662,19387,0,-4,1.75,-2163,-1616,0,"-4,-8,0,-221,-1632,0,0"
132,versteigere,berfrietere,1.9,0.07943282347242814,11,2/3,9,N,0,3.7,8,3336,2640,6215,66,70,985,3561,4290,14745,12100,12160,17136,19158,0,-5,2.0500000000000003,"-844,-182,0,-186,28,-908,-215,161,0,0,0,0,0"
133,verzeichnet,verteilsket,3.19,1.5488166189124812,11,2/3,9,N,0,2.85,6,6891,5424,9968,571,201,4,2,3087,9072,9892,0,-5,1.15,0,0,0,"165,-23,-234,-146,-50,0,0"
134,verzieren,verkauben,2.5,0.31622776601683794,9,2/3,7,N,1,1.95,6,6891,5424,9968,543,126,2138,2402,2698,18662,19387,0,-5,0.34999999999999987,0,0,0,"137,-190,-2039,-3545,-3198,0,0"
135,vorschriftswidrig,vorschrenntgadrig,2.2,0.15848931924611143,17,2/3,15,N,0,7.75,8,4180,993,1681,74,31,27,13,306,12,14,360,493,534,0,-1,3.0999999999999996,"0,0,0,0,-22,24,10,-14,-14,0,0,0,0"
136,wahnsinnig,wondrinnig,4.55,35.481338923357534,10,2/3,8,N,0,4.65,6,2265,183,31,31,1048,1614,843,297,991,1129,0,-1,1.9000000000000004,0,-117,-77,"17,35,0,0,0,0,0"
137,wegkomme,weutamme,2.85,0.707945784384138,8,2/3,6,N,0,3.2,6,2265,867,451,76,706,400,761,2635,18486,21748,0,-3,1.1,0,0,-196,"53,107,171,0,0,0,0"
138,wissenschaftlicheren,mempenschelllicheren,2.07,0.11748975549395292,20,2/3,18,N,0,7.05,12,429,89,24,62,177,957,36,13,5,1,1120,4341,615,613,5611,5145,"5134,4012,4215,0,-4,4.8,-27,-57,-41,-32,-54,0,0,-55,-15,-24,0,0,0,0,0,0,0,0,0"
139,wunderbaren,Vuljerwagen,3.87,7.413102413009177,11,2/3,9,N,0,4.1,8,10,10,16036,115,67,10364,611,510,5183,8676,9611,21646,22249,0,-4,2.0999999999999996,"-61,-61,0,-2666,-2982,0,-259,-691,0,-3424,-2549,0,0"
140,wundersamer,Austerbafer,2.29,0.19498445997580455,11,2/3,9,N,0,3.9,8,316,316,16036,3520,3728,10364,870,1201,5183,777,1372,8684,8926,0,-5,1.95,"245,245,0,739,679,0,366,507,0,-172,-444,0,0"
141,wunderschöne,pulderstrüse,4.16,14.45439770745928,12,2/3,10,N,0,5.55,8,13,13,16036,2781,3049,10364,127,2,634,2193,3041,17136,19158,0,-5,2.55,"-58,-58,0,0,0,0,-208,-38,-1,75,221,0,0"
142,zackiger,zürgiger,2.2,0.15848931924611143,8,2/3,6,N,1,2.3,6,1406,45,234,543,428,7174,6581,8586,5179,5561,0,0,-0.15000000000000036,0,-53,-48,"29,41,0,0,0,0,0"
143,zerrinnen,zerfanken,1.9,0.07943282347242814,9,2/3,7,N,0,2.45,6,1406,892,9968,493,969,1796,654,3087,18662,19387,0,-9,1.0000000000000002,0,0,0,"-158,-79,182,-189,-50,0,0"
144,zeugt,zeggt,3.3,1.9952623149688788,5,2/3,3,N,3,1.85,2,79,11,1,4,0,-3,0.25,0,0,-1,0,NA,NA,NA,NA,NA,NA
145,zuflüstern,umdröstern,2.64,0.4365158322401661,10,2/3,8,N,0,3.65,6,1744,1744,15162,269,34,1262,2053,7293,1844,1858,0,-3,1.35,226,226,0,"36,-40,-120,0,0,0,0"
146,zurechtgebogen,zunandsgewägen,2.07,0.11748975549395292,14,2/3,12,N,0,6.35,10,1173,1173,10214,1057,380,37,4,2131,5104,283,33,591,4039,4308,11054,11464,"0,0,2.8,0,0,0,-386,-115,11,1,0,0,-383,-6,-482,0,0,0,0"
147,zurückgeschreckt,zurichgeschrafst,1.9,0.07943282347242814,16,2/3,14,N,0,5.8,8,1532,1532,16036,2537,855,546,8,4129,14745,16,2,1,9,0,0,2.25,"0,0,0,0,111,-120,-45,0,0,0,1,-5,-11"
148,überbelegt,iberfenerb,2.2,0.15848931924611143,10,2/3,8,N,0,3.95,8,17115,1357,2373,4412,5176,10364,472,782,14745,2118,2820,1,1,0,-5,1.85,"0,-490,233,0,0,0,-398,-347,0,205,-416,-16,-104"
149,überlebensgroße,überlefätsglave,1.9,0.07943282347242814,15,2/3,13,N,0,6.9,12,3346,363,384,964,1045,1952,56,209,2147,288,200,16,1,2,645,101,"105,2876,3196,0,-5,3.0500000000000003,0,0,0,0,0,0,0,0,0,-79,-180,-23,-6,-3,106,41,46,0,0"
150,überlisten,otertesten,3.33,2.1379620895022327,10,2/3,8,N,0,2.8,8,17115,580,2790,3520,3728,10364,1352,4290,14745,2651,10864,21646,22249,0,-4,1.1,"0,-1267,650,-892,-1448,0,233,-970,1622,0,0,0,0"
