participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p506691,2,word,Mannes,TRUE,ralt,2093.270899989875,20.06493940000655
p506691,4,pseudoword,segt,TRUE,ralt,1949.1212000139055,23.695396499999333
p506691,3,pseudoword,Torrerk,TRUE,ralt,986.1369999998716,27.207815600006143
p506691,4,word,sagt,TRUE,lalt,1070.5032999976538,29.75348880002275
p506691,5,pseudoword,tobreren,TRUE,lalt,1891.35950000491,32.391810500004794
p506691,1,pseudoword,Bage,TRUE,ralt,1090.4029000084847,35.835978400020394
p506691,3,word,korrekt,TRUE,ralt,1448.16699999501,38.50675790000241
p506691,2,pseudoword,sanzes,TRUE,ralt,2029.1166999959387,41.51571390000754
p506691,1,word,Haie,TRUE,ralt,1374.1525000077672,45.103466200002
p506691,5,word,sicheren,TRUE,lalt,1994.0931999881288,48.04919489999884
p506691,125,pseudoword,Sevewoknischen,FALSE,lalt,1430.2110000280663,59.10058830000344
p506691,15,word,Kollegium,FALSE,ralt,854.3323999911081,61.50858490000246
p506691,71,word,beliebteren,FALSE,ralt,1141.3216999790166,63.38716630000272
p506691,138,pseudoword,mempenschelllicheren,FALSE,lalt,2038.6922000034247,65.55382720002672
p506691,124,word,sympathisierst,FALSE,ralt,993.01020000712,68.61671840000781
p506691,8,word,Filigrane,FALSE,ralt,1141.858799994225,70.63488510000752
p506691,97,pseudoword,höfflachen,FALSE,lalt,1727.944899990689,72.81008870000369
p506691,51,word,Zinnsoldat,FALSE,ralt,1761.480000015581,75.55441330000758
p506691,73,pseudoword,besprofen,FALSE,lalt,1367.1498999756295,78.3259512000077
p506691,80,pseudoword,einspipfe,FALSE,lalt,1510.7690000149887,80.72126500000013
p506691,33,word,Skonto,FALSE,ralt,1208.4935000166297,83.25189720001072
p506691,23,word,Modepuppe,FALSE,ralt,1068.9087000209838,85.48512310002116
p506691,27,pseudoword,dükken,FALSE,lalt,777.3898000014015,87.59260990002076
p506691,110,pseudoword,quaserbesprugen,FALSE,lalt,1733.715399983339,89.39350510001532
p506691,61,word,aufeinanderprallen,FALSE,ralt,952.6529000140728,92.14383660000748
p506691,126,word,undurchdringbar,FALSE,ralt,984.3243999930564,94.12647210000432
p506691,48,pseudoword,dössermatten,FALSE,lalt,1597.0295000006445,96.14229060002252
p506691,18,pseudoword,Kräppzug,FALSE,lalt,1315.2388000162318,98.76838049999787
p506691,52,pseudoword,anhangslichen,FALSE,ralt,1588.4049000160303,101.08409260000916
p506691,11,word,Grabens,FALSE,ralt,991.1769999889656,103.69608630001312
p506691,56,pseudoword,abbekägen,FALSE,lalt,1286.0500999959186,105.71763369999826
p506691,16,pseudoword,Rabphimution,FALSE,lalt,916.2126000155696,108.02938110000105
p506691,142,pseudoword,zürgiger,FALSE,lalt,1375.802599999588,109.96272670000326
p506691,49,word,Wäscheklammer,FALSE,ralt,855.6239000172354,112.36272299999835
p506691,70,pseudoword,vezönlerten,FALSE,lalt,1271.0551999916788,114.24119510001036
p506691,131,word,verschmutzen,FALSE,ralt,908.2754999981262,116.5397828000132
p506691,81,pseudoword,emptöltig,FALSE,lalt,1223.0241999786813,118.47159850000752
p506691,105,word,lateinamerikanischer,FALSE,ralt,860.8022000116762,120.72069440002088
p506691,146,pseudoword,zunandsgewägen,FALSE,lalt,1102.9694000026211,122.6034181000141
p506691,61,pseudoword,auseinanterchinnen,FALSE,lalt,3290.1928999926895,124.73013690000516
p506691,116,word,schlaksigen,FALSE,ralt,1095.0982999929693,129.04559190000873
p506691,57,word,ansehen,FALSE,ralt,709.4986999873072,131.15793549999944
p506691,31,pseudoword,zatz,FALSE,lalt,982.7830999856816,132.89084690000163
p506691,112,word,offiziellem,FALSE,ralt,1477.0273999893109,134.8915360000101
p506691,77,pseudoword,bumsge,FALSE,lalt,1282.649600005243,137.385892899998
p506691,131,pseudoword,berschlußven,FALSE,lalt,908.3437999943272,139.69611020002048
p506691,112,pseudoword,oßmiziivsem,FALSE,lalt,818.6632000142708,141.6169955000223
p506691,21,word,Media,FALSE,ralt,732.0670999761205,143.46388580001076
p506691,53,word,addierst,FALSE,ralt,649.0282000158913,145.2045537000231
p506691,115,pseudoword,nezolierten,FALSE,lalt,668.9366999780759,146.8657353000017
p506691,67,pseudoword,aufdergt,FALSE,lalt,2247.4727000226267,148.57236040002317
p506691,97,word,haltmachen,FALSE,ralt,650.2494000014849,151.83931550002308
p506691,50,word,Würstchen,FALSE,ralt,651.7941000056453,153.504471799999
p506691,66,word,aufwendig,FALSE,ralt,601.499899988994,155.1849500000244
p506691,140,pseudoword,Austerbafer,FALSE,lalt,1141.3576999912038,156.8165620000218
p506691,51,pseudoword,Perrsoldat,FALSE,ralt,1230.2266999904532,158.98287269999855
p506691,7,pseudoword,Gowuren,FALSE,lalt,1040.7198000175413,161.2352430000028
p506691,77,word,dunkle,FALSE,ralt,834.4317000010051,163.29465570001048
p506691,30,pseudoword,Räckgen,FALSE,lalt,734.7193000023253,165.1588823000202
p506691,70,word,behinderten,FALSE,ralt,601.6519000113476,166.92295510001713
p506691,99,word,hört,FALSE,ralt,501.40040001133457,168.55456180000328
p506691,83,word,entschärft,FALSE,ralt,590.5570000177249,181.88137780001853
p506691,91,word,fortbleiben,FALSE,ralt,609.2925999837462,183.5057862000249
p506691,47,word,Vorbereitungen,FALSE,ralt,527.1924000116996,185.150277800014
p506691,31,word,Satz,FALSE,ralt,570.4012000060175,186.69161310000345
p506691,82,pseudoword,itzgegerfonwende,FALSE,lalt,717.3694999946747,188.29146740000581
p506691,114,word,rasselt,FALSE,ralt,657.9554000054486,190.03256839999813
p506691,124,pseudoword,nippakrisierst,FALSE,lalt,709.4823000079487,191.7189443000243
p506691,71,pseudoword,beseimgeren,FALSE,lalt,993.5639000032096,193.44907070000772
