participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p551117,2,word,Mannes,TRUE,ralt,7272.511406001286,59.414187155001855
p551117,4,pseudoword,segt,TRUE,ralt,1749.8319880032795,68.21948466899994
p551117,2,pseudoword,sanzes,TRUE,lalt,1537.8650940001537,71.50439899300181
p551117,4,word,sagt,TRUE,ralt,1158.0973579984857,74.58731584400084
p551117,3,pseudoword,Torrerk,TRUE,lalt,1273.9596380015428,77.30253567099862
p551117,5,word,sicheren,TRUE,ralt,1848.678370999551,80.10446099800174
p551117,1,pseudoword,Bage,TRUE,lalt,1849.5266210011323,83.48935233000157
p551117,5,pseudoword,tobreren,TRUE,lalt,1393.293659999472,86.87222916700193
p551117,1,word,Haie,TRUE,ralt,675.3632789987023,89.82061169400185
p551117,3,word,korrekt,TRUE,ralt,658.6525989987422,92.0229497649998
p551117,27,word,Pocken,FALSE,ralt,1184.020951001003,99.5083804220012
p551117,25,word,Nachmittagen,FALSE,ralt,1109.9318969972956,101.6981013629993
p551117,116,pseudoword,schwagrigen,FALSE,lalt,1032.3503330000676,103.83155878899925
p551117,100,pseudoword,indergnetauts,FALSE,lalt,2631.0389649988792,105.8820101929996
p551117,30,word,Röntgen,FALSE,ralt,780.4863639976247,109.5325655730012
p551117,21,pseudoword,Tebio,FALSE,lalt,820.1634799988824,111.33277052500124
p551117,73,word,beschämen,FALSE,ralt,785.2923489990644,113.18295332200069
p551117,18,pseudoword,Kräppzug,FALSE,lalt,952.3553030012408,114.99980211000002
p551117,71,pseudoword,beseimgeren,FALSE,lalt,1433.7294210017717,116.9835561510008
p551117,111,word,niederzuhalten,FALSE,ralt,2246.6636240023945,119.43370511000104
p551117,51,pseudoword,Perrsoldat,FALSE,lalt,1260.5533200003265,122.70078377000029
p551117,85,word,erschrickt,FALSE,ralt,1344.0026600001147,124.98448704800104
p551117,49,word,Wäscheklammer,FALSE,ralt,1488.623043998814,127.35133358800158
p551117,128,pseudoword,veragsweugungsßillen,FALSE,lalt,3779.755624000245,129.86838802499915
p551117,18,word,Kreuzzug,FALSE,ralt,731.3801550008066,134.6690077759995
p551117,120,pseudoword,seifle,FALSE,lalt,1046.2611760012803,136.41919482799858
p551117,128,word,verantwortungsvollen,FALSE,ralt,1602.690136001911,138.48594671400133
p551117,78,word,durchquerten,FALSE,ralt,1273.3894479970331,141.11975499899927
p551117,89,word,fickst,FALSE,ralt,1012.5289339994197,143.4198295239985
p551117,80,word,eintreffe,FALSE,ralt,1914.9719669985643,145.45352631900096
p551117,28,pseudoword,Hasteln,FALSE,lalt,1285.1684289998957,148.38760594300038
p551117,63,pseudoword,aussaden,FALSE,lalt,960.6975819988292,150.70435091699983
p551117,76,word,doch,FALSE,ralt,544.8932370018156,152.68815378599902
p551117,150,pseudoword,otertesten,FALSE,lalt,1241.2319560025935,154.25483378400168
p551117,141,pseudoword,pulderstrüse,FALSE,lalt,1559.129377001227,156.52187570300157
p551117,90,pseudoword,riviert,FALSE,lalt,871.0274709992518,159.10527602000002
p551117,97,pseudoword,höfflachen,FALSE,lalt,1363.152579000598,161.00556832700022
p551117,51,word,Zinnsoldat,FALSE,ralt,851.0689989998355,163.3892457530019
p551117,112,pseudoword,oßmiziivsem,FALSE,lalt,1431.4780450004037,165.27293473399914
p551117,106,word,lebenslänglich,FALSE,ralt,1173.970080999425,167.7233694030001
p551117,113,pseudoword,Nonfümiert,FALSE,lalt,1356.8353040027432,169.92333156400127
p551117,9,word,Geschicke,FALSE,ralt,893.083350998495,172.30711404500107
p551117,148,pseudoword,iberfenerb,FALSE,lalt,1440.9117709983548,174.2240864710002
p551117,143,word,zerrinnen,FALSE,ralt,1605.012922998867,176.6911639050013
p551117,148,word,überbelegt,FALSE,ralt,1547.609746998205,179.32467667799938
p551117,87,pseudoword,Cermelen,FALSE,lalt,853.4102039993741,181.89177739799925
p551117,37,word,Straßenmädchen,FALSE,ralt,1209.2566329993133,183.7752936370016
p551117,66,word,aufwendig,FALSE,ralt,991.7714940020232,186.00892096399912
p551117,138,word,wissenschaftlicheren,FALSE,ralt,1367.1755629984546,188.02571643600095
p551117,33,pseudoword,Knolto,FALSE,lalt,870.119674000307,190.4259795149992
p551117,98,pseudoword,horfege,FALSE,lalt,1163.346780998836,192.32643433799967
p551117,109,word,naturalistischen,FALSE,ralt,1131.2406129982264,194.5098812469987
p551117,114,pseudoword,messelt,FALSE,lalt,1212.6698410029348,196.66010114000164
p551117,38,pseudoword,Sönttom,FALSE,lalt,1123.4123579997686,198.89359066500035
p551117,137,pseudoword,weutamme,FALSE,lalt,740.4042469970591,201.04410792899944
p551117,33,word,Skonto,FALSE,lalt,694.9375539988978,202.81090179400053
p551117,34,word,Sorge,FALSE,ralt,777.0529939989501,204.5277755809984
p551117,99,pseudoword,hößt,FALSE,lalt,856.584967001254,206.32800928900176
p551117,97,word,haltmachen,FALSE,ralt,988.7244079982338,208.21155954500136
p551117,5,pseudoword,Pafel,FALSE,lalt,659.4291719993635,210.22859637999863
p551117,16,pseudoword,Rabphimution,FALSE,lalt,792.3475829993549,211.9122632819999
p551117,127,word,ungesetzlich,FALSE,ralt,883.3660829986911,226.6347607159987
p551117,59,word,armes,FALSE,ralt,958.3428369987814,228.5142499829999
p551117,14,word,Kanäle,FALSE,ralt,863.1353700002364,230.4978596209985
p551117,73,pseudoword,besprofen,FALSE,lalt,1530.937786999857,232.38160294300175
p551117,112,word,offiziellem,FALSE,ralt,756.4652140026737,234.9314680989992
p551117,39,pseudoword,Vägevenk,FALSE,lalt,756.8383360012376,236.7152269299986
p551117,125,word,telepathischen,FALSE,ralt,853.3527039980981,238.498682802001
p551117,15,pseudoword,Toffegizu,FALSE,lalt,778.1875020009466,240.38225172300008
p551117,102,word,kaufte,FALSE,ralt,802.0906360034132,242.18256908400144
p551117,93,word,garstiges,FALSE,ralt,841.3220980000915,244.01600793399848
p551117,43,word,Ungetüme,FALSE,ralt,1029.7322410006018,245.88286220900045
p551117,79,pseudoword,einpellsten,FALSE,lalt,1771.524266998313,247.93333419600097
p551117,59,pseudoword,alnes,FALSE,lalt,754.8480730001756,250.73348344799888
p551117,92,word,füttere,FALSE,ralt,762.8080989998125,252.51717951400133
p551117,8,pseudoword,Gisiblase,FALSE,lalt,835.4431189982279,254.30069443200043
p551117,77,word,dunkle,FALSE,ralt,912.4129390002054,256.1676491930011
p551117,47,pseudoword,Monbetierungen,FALSE,lalt,2635.8291739998094,258.1009327870015
p551117,65,pseudoword,aufgleilt,FALSE,lalt,2543.5482499997306,261.7683784229994
p551117,57,word,ansehen,FALSE,ralt,768.5565680003492,265.3355521570011
p551117,68,pseudoword,haukirliges,FALSE,lalt,1953.031736997218,267.13587679800185
p551117,126,word,undurchdringbar,FALSE,ralt,2448.766785000771,270.1194071479986
p551117,13,word,Kanaille,FALSE,lalt,3789.7636480010992,273.5861442630012
p551117,31,pseudoword,zatz,FALSE,lalt,2092.18219000104,278.4036785790013
p551117,63,word,auflasen,FALSE,lalt,2343.1563499980257,281.5209444889988
p551117,56,pseudoword,abbekägen,FALSE,lalt,6705.313624002883,284.88808869700006
p551117,131,pseudoword,berschlußven,FALSE,lalt,1569.8696420004126,292.6223819350016
p551117,113,word,parfümiert,FALSE,ralt,1170.6205270020291,295.22258049599986
p551117,110,word,niedergezwungen,FALSE,ralt,1458.304854000744,297.4230484610016
p551117,2,pseudoword,quokker,FALSE,lalt,942.3629470002196,299.9064890490008
p551117,39,word,Sägewerk,FALSE,ralt,2047.6151000002578,301.87351421999847
p551117,109,pseudoword,paxudotikrischen,FALSE,lalt,1467.74063599878,304.94059750200176
p551117,149,pseudoword,überlefätsglave,FALSE,lalt,1303.1595350003045,307.4411335320001
p551117,55,pseudoword,angeträrken,FALSE,lalt,1674.2882669968822,309.7744930049994
p551117,67,pseudoword,aufdergt,FALSE,lalt,1263.5133240000869,312.4749228530018
p551117,92,pseudoword,räntere,FALSE,lalt,1210.7594740009515,314.75845213199864
p551117,121,word,sogleich,FALSE,ralt,671.8729210006131,316.99215811400063
p551117,116,word,schlaksigen,FALSE,ralt,1115.956230001757,318.6920522440014
