participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p203530,2,word,Mannes,TRUE,ralt,476.558200083673,11.068683299934492
p203530,3,word,korrekt,TRUE,ralt,441.5788000915199,13.091653399867935
p203530,4,word,sagt,TRUE,ralt,501.5088999643922,15.088194099953398
p203530,1,word,Haie,TRUE,ralt,538.1227000616491,17.156565299956128
p203530,5,word,sicheren,TRUE,ralt,484.8597000818699,19.250279400032017
p203530,4,pseudoword,segt,TRUE,lalt,491.5412999689579,21.300011500017717
p203530,1,pseudoword,Bage,TRUE,lalt,551.5878000296652,23.351665599970147
p203530,5,pseudoword,tobreren,TRUE,lalt,475.281200138852,25.462344700004905
p203530,2,pseudoword,sanzes,TRUE,lalt,492.21360008232296,27.550340099958703
p203530,3,pseudoword,Torrerk,TRUE,lalt,535.2620000485331,29.54228949989192
p203530,18,pseudoword,Kräppzug,FALSE,lalt,588.4706999640912,33.21974019985646
p203530,77,pseudoword,bumsge,FALSE,lalt,534.3205998651683,34.83286809991114
p203530,71,pseudoword,beseimgeren,FALSE,lalt,473.1253997888416,36.39825079985894
p203530,112,word,offiziellem,FALSE,ralt,601.3962000142783,37.89688270003535
p203530,78,word,durchquerten,FALSE,ralt,538.3184000384063,39.52884699986316
p203530,22,pseudoword,Tieme,FALSE,lalt,577.0054999738932,41.09430509991944
p203530,96,pseudoword,Klauchrertig,FALSE,lalt,630.9396000579,42.692963799927384
p203530,30,pseudoword,Räckgen,FALSE,lalt,455.23510011844337,44.341664399951696
p203530,31,word,Satz,FALSE,ralt,453.00920004956424,45.82369469990954
p203530,127,pseudoword,ungesegthent,FALSE,lalt,498.3000000938773,47.305780299939215
p203530,36,pseudoword,Steibholne,FALSE,lalt,514.0476999804378,48.82138239988126
p203530,70,word,behinderten,FALSE,ralt,578.4223999362439,50.35338309989311
p203530,69,word,befolgen,FALSE,ralt,522.9257000610232,51.95198899996467
p203530,120,word,siegle,FALSE,lalt,563.7660000938922,53.500623999862
p203530,124,pseudoword,nippakrisierst,FALSE,lalt,478.5366000141949,55.0826681999024
p203530,28,word,Rasters,FALSE,ralt,748.4124000184238,56.58153810002841
p203530,98,word,hinlege,FALSE,ralt,540.9138000104576,58.34675160003826
p203530,5,word,Fabel,FALSE,ralt,538.694400107488,59.91218220000155
p203530,122,word,spuckten,FALSE,ralt,561.0350999049842,61.477578699821606
p203530,69,pseudoword,benäugen,FALSE,lalt,632.7595999464393,63.05947700003162
p203530,130,pseudoword,vertolzen,FALSE,lalt,551.5050999820232,64.70805160002783
p203530,126,pseudoword,untrunkspahmbar,FALSE,lalt,886.4525998942554,66.2902718000114
p203530,99,word,hört,FALSE,ralt,535.4164000600576,68.20517429988831
p203530,59,word,armes,FALSE,ralt,526.8586000893265,69.77071930002421
p203530,40,pseudoword,ponaobeumer,FALSE,lalt,489.16670004837215,71.31928099994548
p203530,6,word,Faulpelze,FALSE,ralt,564.843500033021,72.83482269989327
p203530,92,pseudoword,räntere,FALSE,lalt,499.7721000108868,74.41681779990904
p203530,10,word,Gondel,FALSE,lalt,499.33840008452535,75.93243799987249
p203530,97,word,haltmachen,FALSE,ralt,502.51170014962554,77.44781959988177
p203530,39,pseudoword,Vägevenk,FALSE,lalt,509.0173000935465,78.97971969982609
p203530,87,pseudoword,Cermelen,FALSE,lalt,876.4902001712471,80.51120139984414
p203530,13,pseudoword,Kahästle,FALSE,lalt,512.2643001377583,82.41027390002273
p203530,3,word,Erwachsener,FALSE,ralt,537.027700105682,83.94237369997427
p203530,114,word,rasselt,FALSE,ralt,505.22000016644597,85.50778949982487
p203530,3,pseudoword,Exzingsener,FALSE,lalt,575.4350998904556,87.03979339986108
p203530,57,pseudoword,abbeßen,FALSE,lalt,1177.3416998330504,88.6385408998467
p203530,75,word,deinem,FALSE,ralt,591.5818000212312,90.8367001998704
p203530,146,word,zurechtgebogen,FALSE,ralt,737.0907000731677,92.451718499884
p203530,85,word,erschrickt,FALSE,ralt,419.3226001225412,94.21719069988468
p203530,11,pseudoword,Phabert,FALSE,lalt,483.6643999442458,95.66592489997856
p203530,100,pseudoword,indergnetauts,FALSE,lalt,541.5135000366718,97.18136829999276
p203530,5,pseudoword,Pafel,FALSE,lalt,583.4489001426846,98.74676599982196
p203530,31,pseudoword,zatz,FALSE,lalt,551.5365998726338,100.34546159999444
p203530,136,word,wahnsinnig,FALSE,ralt,537.442300003022,101.92743639997208
p203530,46,pseudoword,Vestbesice,FALSE,lalt,430.6629002094269,103.49285509996116
p203530,45,word,Vertragsabschlüssen,FALSE,lalt,481.2575001269579,104.94157260004432
p203530,48,pseudoword,dössermatten,FALSE,lalt,556.9500999990851,106.44059400004336
p203530,19,word,Lobpreisung,FALSE,ralt,663.8535000383854,108.022492100019
p203530,82,pseudoword,itzgegerfonwende,FALSE,lalt,482.2507998906076,109.70433619990943
