participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p255886,1,word,Haie,TRUE,ralt,4090.4070995748043,70.55281659960747
p255886,4,word,sagt,TRUE,ralt,945.4280994832516,76.15524229966104
p255886,3,pseudoword,Torrerk,TRUE,lalt,1181.0192996636033,78.64357149973512
p255886,3,word,korrekt,TRUE,ralt,804.29229978472,81.37818409968168
p255886,5,word,sicheren,TRUE,lalt,1043.695899657905,83.74624689947814
p255886,1,pseudoword,Bage,TRUE,lalt,1648.958900012076,86.35775379929692
p255886,5,pseudoword,tobreren,TRUE,lalt,915.5763993039728,89.54528780002147
p255886,2,pseudoword,sanzes,TRUE,lalt,722.4618997424841,92.01722919940948
p255886,4,pseudoword,segt,TRUE,ralt,879.0274001657963,94.29938759934156
p255886,2,word,Mannes,TRUE,lalt,964.8722000420094,96.742009699344635
p255886,34,word,Sorge,FALSE,ralt,1090.5977999791503,126.1651757992804
p255886,120,word,siegle,FALSE,lalt,878.791100345552,128.20109069999307
p255886,22,word,Miene,FALSE,ralt,1264.9918999522924,130.10123359970748
p255886,11,word,Grabens,FALSE,lalt,1042.786399833858,132.38467609975487
p255886,37,word,Straßenmädchen,FALSE,ralt,960.2296007797122,134.4670433998108
p255886,138,word,wissenschaftlicheren,FALSE,lalt,1813.935799524188,136.43512999918312
p255886,148,pseudoword,iberfenerb,FALSE,lalt,871.6448005288839,139.2782881995663
p255886,49,word,Wäscheklammer,FALSE,ralt,850.0119997188449,141.17816459946334
p255886,126,word,undurchdringbar,FALSE,ralt,1191.8217996135354,143.03570339921862
p255886,25,word,Nachmittagen,FALSE,ralt,1238.3099999278784,145.25958989933133
p255886,14,word,Kanäle,FALSE,ralt,681.3147002831101,147.51923189964143
p255886,83,word,entschärft,FALSE,ralt,677.7143999934196,149.2301135994494
p255886,100,pseudoword,indergnetauts,FALSE,lalt,934.5046998932958,150.92372879944742
p255886,147,word,zurückgeschreckt,FALSE,ralt,1013.692400418222,152.89329869952053
p255886,93,word,garstiges,FALSE,ralt,1066.2497002631426,154.92000779975206
p255886,99,pseudoword,hößt,FALSE,lalt,2047.9013994336128,157.00763719994575
p255886,40,word,Tonabnehmer,FALSE,ralt,1003.8499999791384,160.07052459940314
p255886,46,word,Vollbesitz,FALSE,ralt,717.9950000718236,162.10385929979384
p255886,71,word,beliebteren,FALSE,ralt,967.0147001743316,163.84268180001527
p255886,87,pseudoword,Cermelen,FALSE,lalt,2208.2393998280168,165.8254276998341
p255886,105,pseudoword,seteinagelesenischem,FALSE,lalt,2311.55820004642,169.05945259984583
p255886,140,pseudoword,Austerbafer,FALSE,lalt,1451.9185004755857,172.39019139949232
p255886,68,pseudoword,haukirliges,FALSE,lalt,964.3154991790652,174.8720774995163
p255886,77,pseudoword,bumsge,FALSE,lalt,799.1460002958775,176.8594034994021
p255886,92,word,füttere,FALSE,ralt,734.5336992293596,178.67205869965255
p255886,51,pseudoword,Perrsoldat,FALSE,ralt,1025.7009007036686,180.43884319998324
p255886,80,pseudoword,einspipfe,FALSE,lalt,2559.388599358499,182.49273219984025
p255886,27,word,Pocken,FALSE,ralt,707.8344002366066,186.07515719998628
p255886,4,pseudoword,ucinzisten,FALSE,lalt,681.7708006128669,187.80613979976624
p255886,57,word,ansehen,FALSE,ralt,608.8586002588272,189.50666169915348
p255886,43,word,Ungetüme,FALSE,ralt,754.5667998492718,191.15719789918512
p255886,84,word,ergiebigen,FALSE,ralt,855.0172001123428,192.92577519919723
p255886,122,pseudoword,Spruntet,FALSE,lalt,1017.3714002594352,194.80711779929695
p255886,75,word,deinem,FALSE,ralt,516.7092997580767,196.85717729944736
p255886,119,pseudoword,Schöchteckste,FALSE,lalt,3228.2910998910666,198.39085830003023
p255886,119,word,schüchternste,FALSE,ralt,812.8717001527548,202.64075169991705
p255886,2,pseudoword,quokker,FALSE,lalt,781.861700117588,204.48580979928377
p255886,126,pseudoword,untrunkspahmbar,FALSE,lalt,1408.780200406909,206.28124069981277
p255886,111,word,niederzuhalten,FALSE,ralt,955.1165997982024,208.70800019986928
p255886,137,pseudoword,weutamme,FALSE,lalt,818.4764999896288,210.69188449997455
p255886,93,pseudoword,wafspiges,FALSE,lalt,718.3404006063938,212.54425929952413
p255886,47,pseudoword,Monbetierungen,FALSE,lalt,2311.556300148368,214.2919588992372
p255886,56,pseudoword,abbekägen,FALSE,lalt,1031.0532003641129,217.62620079983023
p255886,19,pseudoword,Lobgliegung,FALSE,ralt,861.0450001433492,219.6795290997252
p255886,114,word,rasselt,FALSE,ralt,660.3268999606371,221.55940599925816
p255886,22,pseudoword,Tieme,FALSE,lalt,654.1880993172526,223.2426450997591
p255886,36,word,Staubwolke,FALSE,ralt,905.0554996356368,224.92619899939743
p255886,94,pseudoword,werillen,FALSE,lalt,780.2191991358995,226.86089459992945
p255886,1,word,Akzente,FALSE,ralt,714.1275992617011,228.65978039987385
p255886,109,pseudoword,paxudotikrischen,FALSE,lalt,714.028999209404,230.3960794992745
p255886,88,word,festzumachen,FALSE,ralt,649.0155998617411,232.1268626991659
p255886,84,pseudoword,erdaukegen,FALSE,lalt,904.5305997133256,270.62793659977615
p255886,143,pseudoword,zerfanken,FALSE,lalt,853.9016004651785,272.5636799996719
p255886,121,word,sogleich,FALSE,ralt,561.8771994486451,274.4499052995816
p255886,24,pseudoword,Märle,FALSE,ralt,916.2405002862216,276.0361803993583
p255886,81,word,endgültig,FALSE,ralt,651.3761999085546,277.9641087995842
p255886,34,pseudoword,Horke,FALSE,lalt,1028.4636998549104,279.64008819963783
p255886,55,pseudoword,angeträrken,FALSE,lalt,1246.0660999640822,281.6814291998744
p255886,150,word,überlisten,FALSE,ralt,736.6503998637199,283.9484819993377
p255886,149,pseudoword,überlefätsglave,FALSE,lalt,1021.7351000756023,285.7205423992127
p255886,74,pseudoword,behockten,FALSE,lalt,2393.4128005057573,287.7648514993489
p255886,3,pseudoword,Exzingsener,FALSE,lalt,978.3191001042724,291.1864420995116
p255886,62,word,auffälliges,FALSE,ralt,776.9047003239393,293.18765619955957
p255886,7,pseudoword,Gowuren,FALSE,lalt,1024.5272004976869,294.9826035993174
p255886,9,pseudoword,neschonke,FALSE,lalt,638.4928002953529,297.0354407997802
p255886,142,word,zackiger,FALSE,ralt,675.5103999748826,298.6990048997104
p255886,150,pseudoword,otertesten,FALSE,lalt,726.4869995415211,300.39972219988704
p255886,123,word,strammen,FALSE,ralt,700.0881005078554,302.1496162991971
p255886,15,pseudoword,Toffegizu,FALSE,lalt,1209.3716003000736,303.8720285994932
p255886,8,word,Filigrane,FALSE,ralt,905.1320003345608,306.10332659911364
p255886,30,pseudoword,Räckgen,FALSE,lalt,793.0576000362635,308.03779739979655
p255886,52,pseudoword,anhangslichen,FALSE,lalt,1300.07219966501,309.8503942992538
p255886,36,pseudoword,Steibholne,FALSE,lalt,1820.8528999239209,312.1702469997108
p255886,87,word,ferneren,FALSE,ralt,1034.4245005398989,315.01745759975165
p255886,5,word,Fabel,FALSE,ralt,587.6363003626466,317.0708407992497
p255886,65,word,aufspielt,FALSE,ralt,668.3795005083084,318.68900669924915
p255886,61,pseudoword,auseinanterchinnen,FALSE,lalt,1598.6591996625066,320.3849411997944
p255886,130,word,verkürzen,FALSE,ralt,965.6646996736526,323.00147739984095
p255886,16,pseudoword,Rabphimution,FALSE,lalt,962.9513993859292,324.98937429953367
p255886,2,word,Drücker,FALSE,ralt,728.3573998138309,326.9690077994019
