participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p389724,4,pseudoword,segt,TRUE,lalt,1571.6334000462666,28.269071000046097
p389724,1,word,Haie,TRUE,lalt,687.6478999620304,31.362919999985024
p389724,3,pseudoword,Torrerk,TRUE,lalt,608.0811999272555,33.61443399998825
p389724,3,word,korrekt,TRUE,ralt,561.0881000757217,35.77845129999332
p389724,5,word,sicheren,TRUE,ralt,485.7783999759704,37.89731859997846
p389724,4,word,sagt,TRUE,ralt,635.4390999767929,39.946881400072016
p389724,2,word,Mannes,TRUE,ralt,906.5355999628082,42.13435120007489
p389724,2,pseudoword,sanzes,TRUE,lalt,591.3460999727249,44.59975030005444
p389724,1,pseudoword,Bage,TRUE,lalt,915.5583999818192,46.749460600083694
p389724,5,pseudoword,tobreren,TRUE,lalt,734.0147000504658,49.21376940002665
p389724,18,pseudoword,Kräppzug,FALSE,lalt,931.8700999720022,56.763180000009015
p389724,17,word,Kontoauszug,FALSE,ralt,861.9173000333831,58.68332299997565
p389724,96,pseudoword,Klauchrertig,FALSE,lalt,1204.7643000259995,60.56691839999985
p389724,129,word,vergeltet,FALSE,ralt,1173.7242999952286,62.79991990001872
p389724,41,pseudoword,Mexristen,FALSE,lalt,526.0263999225572,64.9997423000168
p389724,41,word,Touristen,FALSE,ralt,578.5636000800878,66.54977080004755
p389724,71,pseudoword,beseimgeren,FALSE,lalt,582.7700999798253,68.14956950000487
p389724,39,pseudoword,Vägevenk,FALSE,ralt,493.0093000875786,69.74996569997165
p389724,101,pseudoword,Jespelanges,FALSE,lalt,1081.8708000006154,71.26765270007309
p389724,8,word,Filigrane,FALSE,lalt,573.2935999985784,73.36594879999757
p389724,13,pseudoword,Kahästle,FALSE,lalt,535.9683999558911,74.96611709997524
p389724,148,word,überbelegt,FALSE,ralt,509.90309996996075,76.53303130005952
p389724,100,word,interpretiert,FALSE,ralt,653.338999953121,78.06585370004177
p389724,105,word,lateinamerikanischer,FALSE,ralt,963.61849992536,79.74905039998703
p389724,94,pseudoword,werillen,FALSE,lalt,630.2759000100195,81.73223109997343
p389724,104,pseudoword,greaade,FALSE,lalt,621.5750999981537,83.38240830006544
p389724,69,pseudoword,benäugen,FALSE,lalt,556.5653999801725,85.0322205000557
p389724,92,word,füttere,FALSE,ralt,1181.9220000179484,86.61509189999197
p389724,63,pseudoword,aussaden,FALSE,lalt,969.4506999803708,88.8151033000322
p389724,131,pseudoword,berschlußven,FALSE,lalt,1425.6460999604317,90.81503060006072
p389724,58,word,antaten,FALSE,ralt,1175.1345000229776,93.26515120000111
p389724,28,pseudoword,Hasteln,FALSE,lalt,1274.8400999698788,95.46486670000012
p389724,109,pseudoword,paxudotikrischen,FALSE,lalt,1212.3745999997482,97.76472330000252
p389724,85,pseudoword,erschwillt,FALSE,ralt,1329.3393000494689,99.99818019999655
p389724,139,pseudoword,Vuljerwagen,FALSE,lalt,661.0802999930456,102.34783360001164
p389724,48,word,Wasserbetten,FALSE,ralt,885.4608000256121,104.0309583999915
p389724,49,pseudoword,gäschephirmer,FALSE,lalt,645.3023999929428,105.94775880000088
p389724,25,word,Nachmittagen,FALSE,ralt,729.151500039734,107.61433979996946
p389724,20,pseudoword,Maumburg,FALSE,ralt,668.3126999996603,109.36433050001506
p389724,128,word,verantwortungsvollen,FALSE,ralt,1125.8093999931589,111.0473944999976
p389724,57,pseudoword,abbeßen,FALSE,lalt,531.1941000400111,113.19716970005538
p389724,70,word,behinderten,FALSE,ralt,645.1762999640778,114.7473747000331
p389724,132,pseudoword,berfrietere,FALSE,lalt,1354.8969000112263,116.41360680002254
p389724,86,word,erziehst,FALSE,ralt,628.9848000742495,118.79692930006422
p389724,120,word,siegle,FALSE,lalt,769.4839999312535,120.44690760003868
p389724,142,word,zackiger,FALSE,ralt,954.9101999728008,122.24721180007327
p389724,14,word,Kanäle,FALSE,ralt,1732.6739999698475,124.2300646000076
p389724,92,pseudoword,räntere,FALSE,lalt,944.7419999632984,126.98000500001945
p389724,2,pseudoword,quokker,FALSE,lalt,649.0718999411911,128.9463614000706
p389724,115,word,reparierten,FALSE,ralt,980.2561000688002,130.6129513999913
p389724,81,word,endgültig,FALSE,ralt,756.4107000362128,132.61276589997578
p389724,48,pseudoword,dössermatten,FALSE,lalt,757.9498999984935,134.39951610006392
p389724,144,pseudoword,zeggt,FALSE,lalt,1017.8319999249652,136.17934170004446
p389724,149,pseudoword,überlefätsglave,FALSE,lalt,959.9478000309318,138.21551010000985
p389724,130,pseudoword,vertolzen,FALSE,lalt,670.8910999586806,140.19588360004127
p389724,7,word,Figuren,FALSE,ralt,555.4753000615165,141.8958372999914
p389724,21,pseudoword,Tebio,FALSE,lalt,546.9901999458671,143.47904540004674
p389724,8,pseudoword,Gisiblase,FALSE,lalt,586.0423999838531,145.04607000004034
p389724,78,pseudoword,Durchszelten,FALSE,lalt,1480.228399974294,146.66228320007212
p389724,107,pseudoword,ledighens,FALSE,lalt,561.4946000277996,149.16189160000067
p389724,137,word,wegkomme,FALSE,lalt,1052.5106999557463,150.74522669997532
p389724,45,word,Vertragsabschlüssen,FALSE,ralt,1032.6160000404343,158.24442130001262
p389724,6,word,Faulpelze,FALSE,ralt,670.0257000047714,160.294825399993
p389724,23,word,Modepuppe,FALSE,ralt,1056.2498000217602,161.99491520004813
p389724,99,word,hört,FALSE,ralt,495.0512000359595,164.0781673999736
p389724,53,word,addierst,FALSE,ralt,664.9459999753162,165.5948200999992
p389724,31,word,Satz,FALSE,ralt,448.10230005532503,167.2778633000562
p389724,68,word,baufälliges,FALSE,lalt,681.5193000948057,168.74442520004231
p389724,94,word,gefallen,FALSE,lalt,527.148799970746,170.44451240007766
p389724,36,pseudoword,Steibholne,FALSE,lalt,1209.5023000147194,171.9946061000228
p389724,26,word,Parzellen,FALSE,ralt,1639.735000091605,174.22722680005245
p389724,63,word,auflasen,FALSE,ralt,1137.755100033246,176.89385120000225
p389724,60,word,auf,FALSE,ralt,483.0002000089735,179.06076949997805
p389724,143,pseudoword,zerfanken,FALSE,lalt,811.7922999663278,180.5609993999824
p389724,95,word,gesprochen,FALSE,ralt,713.617599918507,182.3940186999971
p389724,84,pseudoword,erdaukegen,FALSE,lalt,603.2567999791354,184.12675870000385
p389724,121,word,sogleich,FALSE,ralt,712.1005000080913,185.7605601999676
p389724,38,word,Symptom,FALSE,ralt,668.28089999035,187.49421550007537
p389724,59,word,armes,FALSE,ralt,593.0003999965265,189.1935894000344
p389724,59,pseudoword,alnes,FALSE,lalt,599.8480999842286,190.8104230000172
p389724,44,word,Vereinfachung,FALSE,ralt,930.1710000727326,192.42811280000024
p389724,23,pseudoword,kidefutwe,FALSE,lalt,768.9024000428617,194.37665079999715
p389724,150,pseudoword,otertesten,FALSE,lalt,1034.38460000325,196.17617210000753
p389724,24,word,Mühle,FALSE,ralt,513.6608000611886,198.22617100004572
p389724,116,word,schlaksigen,FALSE,lalt,526.08739992138,199.7594707000535
p389724,140,word,wundersamer,FALSE,ralt,855.68899998907,201.31086530000903
p389724,87,word,ferneren,FALSE,ralt,1202.3999999510124,203.19265209999867
p389724,119,word,schüchternste,FALSE,ralt,1141.2710000295192,205.42564110003875
p389724,99,pseudoword,hößt,FALSE,lalt,800.8768999716267,207.59243199997584
p389724,65,pseudoword,aufgleilt,FALSE,ralt,862.8308000043035,209.40954420005437
p389724,141,word,wunderschöne,FALSE,ralt,1312.50760005787,211.29396190005355
p389724,40,pseudoword,ponaobeumer,FALSE,lalt,637.1909000445157,213.62537400005385
p389724,73,pseudoword,besprofen,FALSE,lalt,1019.8958000401035,215.29231250006703
p389724,61,pseudoword,auseinanterchinnen,FALSE,lalt,607.2925999760628,217.34212629997637
p389724,147,pseudoword,zurichgeschrafst,FALSE,lalt,739.7475999314338,218.9757037999807
p389724,42,word,Treter,FALSE,ralt,747.0727000618353,220.7423972999677
p389724,30,pseudoword,Räckgen,FALSE,lalt,692.2828999813646,222.5085173000116
p389724,49,word,Wäscheklammer,FALSE,ralt,1194.403399946168,224.22485710005276
p389724,124,word,sympathisierst,FALSE,ralt,682.6408000197262,226.44168729998637
p389724,95,pseudoword,peschüchen,FALSE,lalt,690.0280000409111,228.1413192000473
p389724,6,pseudoword,peigpelze,FALSE,lalt,779.534500092268,229.85824430000503
p389724,55,word,angegriffen,FALSE,ralt,767.867699963972,231.6580469000619
p389724,129,pseudoword,verligtet,FALSE,lalt,751.028300030157,233.4410942000104
p389724,123,word,strammen,FALSE,lalt,990.7339999917896,235.20774630003143
p389724,32,pseudoword,schreigerlächter,FALSE,lalt,1352.2228000219911,237.22409999999215
p389724,37,word,Straßenmädchen,FALSE,ralt,848.0116999708116,239.60755920002703
p389724,34,word,Sorge,FALSE,ralt,553.1148000154644,241.47387500002517
p389724,38,pseudoword,Sönttom,FALSE,lalt,704.9814000492916,243.05761130002793
p389724,118,pseudoword,schirste,FALSE,lalt,1210.6377999298277,244.79069050005637
p389724,128,pseudoword,veragsweugungsßillen,FALSE,lalt,642.7723999368027,247.02382050000597
p389724,56,pseudoword,abbekägen,FALSE,lalt,641.6522999061272,248.69028920005076
