participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p813475,3,word,korrekt,TRUE,ralt,618.7724169994908,65.44512291599858
p813475,5,word,sicheren,TRUE,ralt,550.6611660002818,67.57245733299897
p813475,2,pseudoword,sanzes,TRUE,lalt,642.6671669996722,69.64122212499933
p813475,4,pseudoword,segt,TRUE,lalt,659.2067090005003,71.81733075000011
p813475,1,word,Haie,TRUE,ralt,669.735416999174,74.00129000000015
p813475,5,pseudoword,tobreren,TRUE,lalt,724.1369170005783,76.20090304099904
p813475,4,word,sagt,TRUE,ralt,467.26958399995056,78.44147241599967
p813475,1,pseudoword,Bage,TRUE,lalt,561.8367919996672,80.43500991600013
p813475,3,pseudoword,Torrerk,TRUE,lalt,656.3237910013413,82.51752541599853
p813475,2,word,Mannes,TRUE,ralt,557.1168330006913,84.68929129099888
p813475,12,pseudoword,Kugendfrophs,FALSE,lalt,686.0837080002966,94.15528504099892
p813475,17,pseudoword,pontoaantut,FALSE,lalt,582.9632080003648,95.8303524160001
p813475,88,word,festzumachen,FALSE,ralt,568.4044579993497,97.42139495799891
p813475,2,word,Drücker,FALSE,ralt,557.830167001157,99.06929654099986
p813475,80,word,eintreffe,FALSE,ralt,1009.747875001267,100.56376249999994
p813475,37,pseudoword,spraxenwäschen,FALSE,lalt,693.4997499993187,102.58120149999922
p813475,100,pseudoword,indergnetauts,FALSE,lalt,629.3155829989701,104.28506016599933
p813475,40,word,Tonabnehmer,FALSE,ralt,775.5566249998083,105.91627366600004
p813475,108,word,letzten,FALSE,ralt,615.5582910014346,107.694471625
p813475,125,pseudoword,Sevewoknischen,FALSE,lalt,525.15399999902,109.3288938329988
p813475,73,word,beschämen,FALSE,ralt,566.2852500008739,110.8545529999992
p813475,124,word,sympathisierst,FALSE,ralt,969.2256250000356,112.42842420799934
p813475,67,pseudoword,aufdergt,FALSE,lalt,663.2145419989683,114.3990476250001
p813475,150,pseudoword,otertesten,FALSE,lalt,900.2576249986305,116.06324049999968
p813475,120,pseudoword,seifle,FALSE,lalt,883.489792000546,117.97719620799944
p813475,22,word,Miene,FALSE,ralt,659.3234169995412,119.85656912499871
p813475,82,word,entgegenkommende,FALSE,ralt,833.7894579999556,121.52272341599928
p813475,136,pseudoword,wondrinnig,FALSE,lalt,650.3991669997049,123.35729362499842
p813475,127,word,ungesetzlich,FALSE,ralt,635.8523330000025,125.00652062500012
p813475,30,pseudoword,Räckgen,FALSE,lalt,768.4730830005719,126.6501395409996
p813475,145,word,zuflüstern,FALSE,ralt,669.2866670000512,128.42330774999937
p813475,23,pseudoword,kidefutwe,FALSE,lalt,591.0944170009316,130.0978360829995
p813475,32,word,Schwiegertochter,FALSE,ralt,600.6461659999331,131.68962374999865
p813475,129,word,vergeltet,FALSE,ralt,697.5555419994635,133.3023148329994
p813475,19,word,Lobpreisung,FALSE,ralt,607.6644589993521,134.999231374999
p813475,60,pseudoword,auz,FALSE,lalt,604.7212089997629,136.60644570799923
p813475,116,word,schlaksigen,FALSE,lalt,576.6002910004318,138.21703920799882
p813475,143,word,zerrinnen,FALSE,ralt,644.6138749997772,139.79584729099952
p813475,79,pseudoword,einpellsten,FALSE,ralt,1114.4422919987846,141.44532454099863
p813475,22,pseudoword,Tieme,FALSE,lalt,817.218000000139,143.56365954099965
p813475,136,word,wahnsinnig,FALSE,ralt,626.7707500010147,145.39375970799847
p813475,68,word,baufälliges,FALSE,ralt,1338.733709000735,147.0283774999989
p813475,58,pseudoword,abhiten,FALSE,lalt,699.0015840001433,149.36470566599928
p813475,70,word,behinderten,FALSE,ralt,619.9293749996286,151.06750483299948
p813475,135,pseudoword,vorschrenntgadrig,FALSE,lalt,1202.5903329995344,152.6893629999995
