participant_id,item_nr,condition,text,is_practice_trial,resp,rt_ms,time_so_far_secs
p498198,1,word,Haie,TRUE,lalt,1497.176899923943,31.214778100023977
p498198,3,word,korrekt,TRUE,ralt,1213.632099912502,34.253665299969725
p498198,2,word,Mannes,TRUE,ralt,2300.3478999016806,37.02247890003491
p498198,3,pseudoword,Torrerk,TRUE,lalt,891.5897000115365,40.87227160006296
p498198,4,pseudoword,segt,TRUE,ralt,1498.9005000097675,43.32062809995841
p498198,4,word,sagt,TRUE,ralt,2014.9133999366313,46.370420500054024
p498198,5,pseudoword,tobreren,TRUE,lalt,1116.0888999002054,49.93617660005111
p498198,1,pseudoword,Bage,TRUE,lalt,1343.4198000468314,52.60587830003351
p498198,2,pseudoword,sanzes,TRUE,lalt,847.1651000436395,55.50665090000257
p498198,5,word,sicheren,TRUE,ralt,585.1986999623477,57.903467800002545
p498198,104,word,kreiere,FALSE,ralt,1423.8020000047982,64.43250850006007
p498198,80,pseudoword,einspipfe,FALSE,lalt,792.9243999533355,66.88130829995498
p498198,139,word,wunderbaren,FALSE,ralt,1678.9607000537217,68.69797700003255
p498198,132,word,versteigere,FALSE,ralt,833.1864000065252,71.39800369995646
p498198,97,word,haltmachen,FALSE,ralt,899.4542000582442,73.24842650000937
p498198,105,word,lateinamerikanischer,FALSE,ralt,1457.5624999124557,75.16444199997932
p498198,58,word,antaten,FALSE,ralt,1276.1320000281555,77.64778570004273
p498198,22,pseudoword,Tieme,FALSE,lalt,820.4599000746384,79.9477866999805
p498198,107,pseudoword,ledighens,FALSE,lalt,809.4250001013279,81.79786170006264
p498198,53,pseudoword,aifierst,FALSE,lalt,660.4141000425443,83.63116160000209
p498198,16,word,Konstitution,FALSE,ralt,689.8612000513822,85.31464120000601
p498198,44,word,Vereinfachung,FALSE,ralt,672.3352000117302,87.0316187000135
p498198,2,word,Drücker,FALSE,ralt,598.8304000347853,88.73153370001819
p498198,113,word,parfümiert,FALSE,ralt,701.0511999251321,90.34762570005842
p498198,23,pseudoword,kidefutwe,FALSE,lalt,538.7772000394762,92.0813578000525
p498198,89,word,fickst,FALSE,ralt,794.3883999250829,93.64781150000636
p498198,148,word,überbelegt,FALSE,ralt,1095.3099000034854,95.46444030001294
p498198,87,pseudoword,Cermelen,FALSE,lalt,767.1912000514567,97.5811899000546
p498198,122,word,spuckten,FALSE,ralt,895.4326999373734,99.38126020005438
p498198,21,pseudoword,Tebio,FALSE,lalt,616.6694000130519,101.29769609996583
p498198,46,pseudoword,Vestbesice,FALSE,lalt,548.689000075683,102.93108330003452
p498198,50,pseudoword,Bünktchen,FALSE,lalt,894.8079000692815,104.49775420001242
p498198,35,pseudoword,fopfeträrger,FALSE,lalt,1023.7160000251606,106.41497519996484
